startup_name,description,funding_amount,industry,location,employees,website,founders,founder_emails,founder_linkedin,source,batch
Elodie Games,"Elodie Games creates games with deep co-op gameplay and endlessly engaging experiences.


SoftwareGaming

**Quick facts:**

📍HQ: Los Angeles, California, USA


11-50 employeesFounded: 2019

**Funding:**

Founders Fund Andreessen Horowitz$32M Series A in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/elodie-games)

[Check company site 📌](http://elodie.games/?utm_source=topstartups.io)

[View Jobs](https://jobs.lever.co/ElodieGames/?utm_source=topstartups.io)",$32M,,"Los Angeles, California, USA",50,http://elodie.games/,,,,topstartups.io,
Foodology,"Creating the largest virtual restaurant group in Latin America.


Food DeliveryRestaurants

**Quick facts:**

📍HQ: Bogotá, Colombia


201-500 employeesFounded: 2019

**Funding:**

Andreessen Horowitz$20M Series B in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/foodology-inc)

[Check company site 📌](http://www.foodology.com.co/?utm_source=topstartups.io)

[View Jobs](https://despega.foodology.com.co/?utm_source=topstartups.io)",$20M,,"Bogotá, Colombia",500,http://www.foodology.com.co/,,,,topstartups.io,
Pogo,"Help over 2M+ users earn and save by unlocking the power of their data; engagement on par with Instagram & Twitter; 7-figure revenue per employee.


Consumer Mobile App FinTech

**Quick facts:**

📍HQ: Brooklyn, New York, USA


11-50 employeesFounded: 2020

**Funding:**

20VC Josh Buckley Founders of Honey & CartaSeries A in 2025

**Founders:**

Leaders at $1B+ startups; Northwestern alums 🚀


**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/joinpogo/)

[Check company sit",$1B,FinTech,"Brooklyn, New York, USA",50,https://www.joinpogo.com/,,,,topstartups.io,
Blossom,"Building AI Copilots & Agents for Psychiatry. Come make mental healthcare affordable, accessible, and clinically-effective for every American.


Artificial Intelligence Healthcare

**Quick facts:**

📍HQ: New York, New York, USA


1-10 employeesFounded: 2024

**Funding:**

Headline Village Global Operator Partners Correlation Ventures Founder of General Catalyst$20M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/join-blossom-health)

[Read reviews ⭐](h",$20M,"Healthcare, Artificial Intelligence","New York, New York, USA",10,https://joinblossomhealth.com/,,,,topstartups.io,
Omnea,"Building procurement orchestration platform that streamlines source-to-pay workflows


Artificial Intelligence Enterprise Software

**Quick facts:**

📍HQ: London, England, United Kingdom


101-200 employeesFounded: 2022

**Funding:**

Accel Khosla Ventures Insight Partners$50M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/omnea)

[Check company site 📌](https://www.omnea.co/?utm_source=topstartups.io)

[View Jobs](https://www.omnea.co/careers?utm_sour",$50M,"Enterprise Software, Artificial Intelligence","London, England, United Kingdom",200,https://www.omnea.co/,,,,topstartups.io,
Listen Labs,"Listen Labs is an autonomous market researcher that makes deep customer conversations fast and scalable.


Artificial Intelligence Enterprise Software

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2023

**Funding:**

Sequoia$27M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/listenlabss)

[Check company site 📌](https://listenlabs.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/listenlabs",$27M,"Enterprise Software, Artificial Intelligence","San Francisco Bay Area, California, USA",50,https://listenlabs.ai/,,,,topstartups.io,
Adaptive Security,"Protecting companies from AI-powered attacks


Artificial Intelligence Cybersecurity Enterprise Software

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2024

**Funding:**

Andreessen Horowitz OpenAI NVIDIA Bain Capital Ventures$81M Series B in 2025

**Founders:**

3x Founders, previously Attentive ($7B) and TapCommerce (acq by Twitter)


**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/adaptivesecurity)

[Check company site 📌](https://www.ada",$81M,"Cybersecurity, Enterprise Software, Artificial Intelligence","New York, New York, USA",200,https://www.adaptivesecurity.com/,,,,topstartups.io,
Avoca,"Building the AI Workforce for Service Businesses


Artificial Intelligence

**Quick facts:**

📍HQ: New York, New York, USA


11-50 employeesFounded: 2023

**Funding:**

Y CombinatorSeed in 2023

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/youramigo-ai)

[Check company site 📌](https://www.avoca.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.gem.com/avoca?utm_source=topstartups.io)

[![Traba startup company logo](https://images.crunchbase.com/image/upload/c_",,Artificial Intelligence,"New York, New York, USA",50,https://www.avoca.ai/,,,,topstartups.io,
Traba,"Building AI agents and other technologies to completely disrupt the industrial supply chain.


Marketplace Supply Chain Artificial Intelligence

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2021

**Funding:**

Founders Fund Khosla Ventures General Catalyst$45M Series A in 2023

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/traba-work)

[Check company site 📌](https://traba.work/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.",$45M,Artificial Intelligence,"New York, New York, USA",200,https://traba.work/,,,,topstartups.io,
Harmonic,"Building mathematical superintelligence


Artificial Intelligence

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2023

**Funding:**

Sequoia Kleiner Perkins$100M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/harmonicmath)

[Check company site 📌](https://harmonic.fun/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/Harmonic?utm_source=topstartups.io)

[![Ambience Healthcare startup company lo",$100M,"Healthcare, Artificial Intelligence","San Francisco Bay Area, California, USA",50,https://harmonic.fun/,,,,topstartups.io,
Ambience Healthcare,"AI operating system used for documentation, coding, and clinical workflows


Artificial Intelligence Healthcare

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


101-200 employeesFounded: 2020

**Funding:**

Andreessen Horowitz$243M Series C in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/ambiencehealthcare)

[Check company site 📌](https://www.ambiencehealthcare.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/ambiencehealth",$243M,"Healthcare, Artificial Intelligence","San Francisco Bay Area, California, USA",200,https://www.ambiencehealthcare.com/,,,,topstartups.io,
Vanta,"Vanta is an automated security monitoring platform that helps companies get SOC 2, HIPAA, or ISO 27001 certified quickly.


CybersecuritySoftware

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


201-500 employeesFounded: 2017

**Funding:**

SequoiaY Combinator$150M Series D in 2025$4.2B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/vanta-security)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Vanta-Reviews-E3971334.htm)

[Check company si",$150M,Cybersecurity,"San Francisco Bay Area, California, USA",500,http://www.vanta.com/,,,,topstartups.io,
Ramp,"Corporate card and spend management platform for businesses


FinTech Enterprise Software

**Quick facts:**

📍HQ: New York, New York, USA


201-500 employeesFounded: 2019

**Funding:**

Founders Fund$500M Series E in 2025$22.5B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/ramp/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Ramp-EI_IE4211228.11,15.htm)

[Check company site 📌](https://ramp.com/?utm_source=topstartups.io)

[View Jobs](https",$500M,"FinTech, Enterprise Software","New York, New York, USA",500,https://ramp.com/,,,,topstartups.io,
Tennr,"AI automation platform for medical documents


Artificial Intelligence Healthcare

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2021

**Funding:**

Andreessen Horowitz$101M Series C in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/tennrai)

[Check company site 📌](https://www.tennr.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/tennr?utm_source=topstartups.io)

[![XBOW startup company logo](https://images.crunc",$101M,"Healthcare, Artificial Intelligence","New York, New York, USA",200,https://www.tennr.com/,,,,topstartups.io,
XBOW,"Using AI to revolutionize how we approach offensive security


Artificial Intelligence Cybersecurity

**Quick facts:**

📍HQ: Remote


11-50 employeesFounded: 2024

**Funding:**

Sequoia$75M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/xbow)

[Check company site 📌](https://xbow.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/xbowcareers?utm_source=topstartups.io)

[![OpenRouter startup company logo](https://images.crunchbase.com",$75M,"Cybersecurity, Artificial Intelligence",Remote,50,https://xbow.com/,,,,topstartups.io,
OpenRouter,"Platform that connects AI applications with LLMs and cloud hosting providers


Artificial Intelligence

**Quick facts:**

📍HQ: Remote


1-10 employeesFounded: 2023

**Funding:**

Sequoia Andreessen Horowitz$40M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/openrouter)

[Check company site 📌](https://openrouter.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/openrouter/?utm_source=topstartups.io)

[![Harvey startup company logo](h",$40M,Artificial Intelligence,Remote,10,https://openrouter.ai/,,,,topstartups.io,
Harvey,"AI provider for legal workers


Artificial Intelligence Legal

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


201-500 employeesFounded: 2021

**Funding:**

Sequoia Kleiner Perkins$300M Series E in 2025$5.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/harvey-ai/)

[Check company site 📌](https://www.harvey.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/harvey?utm_source=topstartups.io)

[![Gecko Robotics startup compa",$300M,Artificial Intelligence,"San Francisco Bay Area, California, USA",500,https://www.harvey.ai/,,,,topstartups.io,
Gecko Robotics,"Gecko Robotics builds robots to perform infrastructure inspections by climbing into confined and dangerous places.


RoboticsHardware

**Quick facts:**

📍HQ: Pittsburgh, Pennsylvania, USA


101-200 employeesFounded: 2013

**Funding:**

Founders FundY Combinator$125M Series D in 2025$1.2B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/gecko-robotics-llc)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Gecko-Robotics-EI_IE1333447.11,25.htm)

[Check",$125M,,"Pittsburgh, Pennsylvania, USA",200,http://www.geckorobotics.com/,,,,topstartups.io,
Anduril Industries,"Build defense technology for military agencies and border surveillance


HardwareSpaceMilitary

**Quick facts:**

📍HQ: Los Angeles, California, USA


501-1000 employeesFounded: 2017

**Funding:**

Andreessen HorowitzFounders Fund$2B Series G in 2025$30.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/andurilindustries/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Anduril-EI_IE3546800.11,18.htm)

[Check company site 📌](http://www.anduril.",$2B,,"Los Angeles, California, USA",1000,http://www.anduril.com/,,,,topstartups.io,
Hex,"Building workspace for collaborative analytics and data science; turning data into knowledge


Analytics Data Science SaaS

**Quick facts:**

📍HQ: Remote


101-200 employeesFounded: 2019

**Funding:**

Andreessen Horowitz Sequoia$70M Series C in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/hex-technologies/)

[Check company site 📌](https://hex.tech/?utm_source=topstartups.io)

[View Jobs](https://hex.tech/careers/?utm_source=topstartups.io)",$70M,SaaS,Remote,200,https://hex.tech/,,,,topstartups.io,
Innoviti Solutions,"India's leading payment solutions company


FinTechPayments

**Quick facts:**

📍HQ: Bangalore, India


501-1000 employeesFounded: 2002

**Funding:**

Bessemer$10M Series E in 2024$177M valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/innoviti-payment-solutions/)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Innoviti-Reviews-E637492.htm)

[Check company site 📌](http://www.innoviti.com/?utm_source=topstartups.io)

[View Jobs](https://www.linkedin.com/compa",$10M,FinTech,"Bangalore, India",1000,http://www.innoviti.com/,,,,topstartups.io,
Rupeek,"Online gold loans at your doorstep


FinTechLending

**Quick facts:**

📍HQ: Bangalore, India


1001-5000 employeesFounded: 2015

**Funding:**

SequoiaAccel$16M Series E in 2022$634M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/10045372)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Rupeek-Reviews-E1398944.htm)

[Check company site 📌](http://rupeek.com/?utm_source=topstartups.io)

[View Jobs](https://rupeek.com/about/careers?utm_source=topstartups.io)

[!",$16M,FinTech,"Bangalore, India",5000,http://rupeek.com/,,,,topstartups.io,
Byjus,"BYJU’s is an edtech company that is reinventing how students learn through its learning app.


AppsEdTech

**Quick facts:**

📍HQ: Bangalore, India


5000+ employeesFounded: 2011

**Funding:**

Sequoia$800M Series F in 2022$22.0B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/byjus)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/BYJU-S-Reviews-E690021.htm)

[Check company site 📌](http://byjus.com/?utm_source=topstartups.io)

[View Jobs](https://byjus.com/car",$800M,,"Bangalore, India",,http://byjus.com/,,,,topstartups.io,
Perfios,"RealTime Analytics and Decisioning Platform. Made in India


FinTech

**Quick facts:**

📍HQ: Bangalore, India


201-500 employeesFounded: 2008

**Funding:**

Bessemer$70M Series C in 2022$2.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/perfios-software-solutions-pvt.-ltd./)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Perfios-Software-Reviews-E397130.htm)

[Check company site 📌](http://www.perfios.com/?utm_source=topstartups.io)

[View Jobs](https",$70M,FinTech,"Bangalore, India",500,http://www.perfios.com/,,,,topstartups.io,
Livspace,"Design, decorate and furnish your dream home.


E-CommerceInterior DesignDecor

**Quick facts:**

📍HQ: Bangalore, India


1001-5000 employeesFounded: 2012

**Funding:**

Bessemer$180M Series F in 2022$1.2B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/livspace)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-LivSpace-EI_IE1326799.11,19.htm)

[Check company site 📌](http://www.livspace.com/?utm_source=topstartups.io)

[View Jobs](https://www.livsp",$180M,E-Commerce,"Bangalore, India",5000,http://www.livspace.com/,,,,topstartups.io,
INCREFF,"Increff is a business partner to Fashion and Lifestyle brands and retailers to increase sales and inventory efficiency.


Fashion Supply Chain Management

**Quick facts:**

📍HQ: Bangalore, India


101-200 employeesFounded: 2016

**Funding:**

Sequoia$12M Series B in 2022$73M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/increff)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Increff-EI_IE1650026.11,18.htm)

[Check company site 📌](http://increff",$12M,,"Bangalore, India",200,http://increff.com/,,,,topstartups.io,
Swiggy,"Food,Beers,Desserts. Delivered super-fast


Food & DrinksDelivery

**Quick facts:**

📍HQ: Bangalore, India


5000+ employeesFounded: 2014

**Funding:**

BessemerAccelRaised $700M in 2022$10.7B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/swiggy-in)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Swiggy-Reviews-E952680.htm)

[Check company site 📌](http://www.swiggy.com/?utm_source=topstartups.io)

[View Jobs](https://careers.swiggy.com/#/?utm_source=topstar",$700M,,"Bangalore, India",,http://www.swiggy.com/,,,,topstartups.io,
BlueStone.com,"Bluestone is an online retailer where users can purchase a variety of jewelry.


E-CommerceJewelry

**Quick facts:**

📍HQ: Bangalore, India


201-500 employeesFounded: 2011

**Funding:**

Accel$30M Series E in 2022$410M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/bluestone-com)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Bluestone-com-Reviews-E924070.htm)

[Check company site 📌](http://www.bluestone.com/?utm_source=topstartups.io)

[View Jobs](https:/",$30M,E-Commerce,"Bangalore, India",500,http://www.bluestone.com/,,,,topstartups.io,
Razorpay,"Modern payment gateway for India with simple pricing, easy integration and awesome support


FinTechPaymentsSoftware

**Quick facts:**

📍HQ: Bangalore, India


1001-5000 employeesFounded: 2014

**Funding:**

Y Combinator$375M Series F in 2021$7.5B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/razorpay)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Razorpay-EI_IE1146550.11,19.htm)

[Check company site 📌](http://www.razorpay.com/?utm_source=tops",$375M,FinTech,"Bangalore, India",5000,http://www.razorpay.com/,,,,topstartups.io,
Scripbox,"Cutting through the noise & clutter with a sharp focus on #investing. No Jargon. No Bias. No Fees.


FinTechInvestment

**Quick facts:**

📍HQ: Bangalore, India


101-200 employeesFounded: 2012

**Funding:**

Accel$10M Series D in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/scripbox)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Scripbox-Reviews-E1100379.htm)

[Check company site 📌](http://scripbox.com/?utm_source=topstartups.io)

[View Jobs](https://scripbox",$10M,FinTech,"Bangalore, India",200,http://scripbox.com/,,,,topstartups.io,
CoinSwitch,"CoinSwitch is a cryptocurrency exchange platform


Crypto Trading

**Quick facts:**

📍HQ: Bangalore, India


101-200 employeesFounded: 0

**Funding:**

Andreessen Horowitz$260M Series C in 2021$1.9B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/coinswitch/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-CoinSwitch-EI_IE2396041.11,21.htm)

[Check company site 📌](http://coinswitch.co/?utm_source=topstartups.io)

[View Jobs](https://recruiterf",$260M,,"Bangalore, India",200,http://coinswitch.co/,,,,topstartups.io,
HomeLane,"HomeLane provides homeowners with personalized and customized home designs.


Interior DesignHome Decor

**Quick facts:**

📍HQ: Bangalore, India


1001-5000 employeesFounded: 2014

**Funding:**

Sequoia Accel$50M Series E in 2021

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/homelane/)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/HomeLane-Reviews-E1169733.htm)

[Check company site 📌](http://www.homelane.com/?utm_source=topstartups.io)

[View Jobs](https://home",$50M,,"Bangalore, India",5000,http://www.homelane.com/,,,,topstartups.io,
CureFit,"cure.fit is a health and fitness company offering digital and offline experiences across fitness, nutrition, and mental well-being.


ConsumerAppsHealthcareFitness

**Quick facts:**

📍HQ: Bangalore, India


1001-5000 employeesFounded: 2016

**Funding:**

Accel$145M Series F in 2021$1.5B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/curefit)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Cure-Fit-Reviews-E1675320.htm)

[Check company site 📌](http://www.cure",$145M,Healthcare,"Bangalore, India",5000,http://www.curefit.com/,,,,topstartups.io,
Portea Medical,"Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.


HealthcareMedical

**Quick facts:**

📍HQ: Bangalore, India


1001-5000 employeesFounded: 2013

**Funding:**

AccelRaised $75M in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/portea-medical)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Portea-EI_IE991008.11,17.htm)

[Check company site 📌](http://www.portea.com/?utm_source=top",$75M,Healthcare,"Bangalore, India",5000,http://www.portea.com/,,,,topstartups.io,
Ninjacart,"Ninjacart is India's Largest agri marketing platform, solving one of the toughest supply chain problems through technology.


MarketplacesAgricultureMarketing

**Quick facts:**

📍HQ: Bangalore, India


1001-5000 employeesFounded: 2015

**Funding:**

AccelRaised $190M in 2021$815M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/ninja-cart)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-ninjacart-EI_IE1322421.11,20.htm)

[Check company site 📌](http",$190M,,"Bangalore, India",5000,http://ninjacart.in/,,,,topstartups.io,
Playment,"We are fully-managed solution offering training data for computer vision, machine learning and human-in-the-loop for AI at scale.


Data ScienceArtificial IntelligenceAutonomous Vehicles

**Quick facts:**

📍HQ: Bangalore, India


101-200 employeesFounded: 2015

**Funding:**

Y CombinatorRaised $2M in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/playment)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Playment-EI_IE1385135.11,19.htm)

[Check company",$2M,Artificial Intelligence,"Bangalore, India",200,http://playment.io/,,,,topstartups.io,
Meesho,"Start your free online shop in seconds


E-Commerce

**Quick facts:**

📍HQ: Bangalore, India


1001-5000 employeesFounded: 2015

**Funding:**

Y Combinator$570M Series F in 2021$4.9B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/meesho/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Meesho-EI_IE1503776.11,17.htm)

[Check company site 📌](http://meesho.com/?utm_source=topstartups.io)

[View Jobs](https://careers.meesho.com/?utm_source=topsta",$570M,E-Commerce,"Bangalore, India",5000,http://meesho.com/,,,,topstartups.io,
Vahan,"We use Artificial Intelligence to bring job services inside WhatsApp


MessagingRecruitingArtificial Intelligence

**Quick facts:**

📍HQ: Bangalore, India


51-100 employeesFounded: 2016

**Funding:**

Khosla VenturesFounders Fund Y Combinator$8M Series A in 2021

**Take action:**

[See who works here 🤝](https://in.linkedin.com/company/vahan-inc-)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Vahan-EI_IE1493574.11,16.htm)

[Check company site 📌](http://vahan.ai/?utm_source=tops",$8M,Artificial Intelligence,"Bangalore, India",100,http://vahan.ai/,,,,topstartups.io,
Vivodyne,"Accelerates drug discovery using lab-grown human tissues, robotics, and AI to generate accurate preclinical test data


Artificial Intelligence Biotech Healthcare

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2022

**Funding:**

Khosla Ventures$40M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/vivodyne)

[Check company site 📌](https://www.vivodyne.com//?utm_source=topstartups.io)

[View Jobs](https://job-bo",$40M,"Biotech, Healthcare, Artificial Intelligence","San Francisco Bay Area, California, USA",50,https://www.vivodyne.com//,,,,topstartups.io,
NewLimit,"Developing epigenetic therapies to extend human healthspan by reprogramming aging cells


Biotech Healthcare

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2022

**Funding:**

Founders Fund$130M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/newlimit)

[Check company site 📌](https://www.newlimit.com/?utm_source=topstartups.io)

[View Jobs](https://job-boards.greenhouse.io/newlimit/?utm_source=topstartups.io)
",$130M,"Biotech, Healthcare","San Francisco Bay Area, California, USA",50,https://www.newlimit.com/,,,,topstartups.io,
BioAge Labs,"BIOAGE targets aging to develop drugs that treat severe diseases


Biotech

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


51-100 employeesFounded: 2015

**Funding:**

Andreessen Horowitz$170M Series D in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/bioage-labs)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-BIOAGE-Labs-EI_IE2607871.11,22.htm)

[Check company site 📌](http://bioagelabs.com/?utm_source=topstartups.io)

[View Job",$170M,Biotech,"San Francisco Bay Area, California, USA",100,http://bioagelabs.com/,,,,topstartups.io,
Freenome,"Freenome brings accurate and non-invasive disease screening to proactively treat cancer


Personal HealthcareBiotech

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


201-500 employeesFounded: 2014

**Funding:**

Andreessen HorowitzFounders Fund$254M Series E in 2024$2.6B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/freenome)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Freenome-EI_IE1411775.11,19.htm)

[Check company site 📌]",$254M,"Biotech, Healthcare","San Francisco Bay Area, California, USA",500,http://www.freenome.com/,,,,topstartups.io,
IgGenix,"Develop first-in-class therapies for millions of people whose daily lives are limited by allergies


Biotech

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2019

**Funding:**

Khosla Ventures$40M Series B in 2023

**Take action:**

[See who works here 🤝](https://linkedin.com/company/iggenix-inc)

[Check company site 📌](http://iggenix.com/?utm_source=topstartups.io)

[View Jobs](https://iggenix.com/?utm_source=topstartups.io)

[![Asimov startup company l",$40M,Biotech,"San Francisco Bay Area, California, USA",50,http://iggenix.com/,,,,topstartups.io,
Asimov,"Asimov builds tools to program living cells.


Biotech

**Quick facts:**

📍HQ: Boston, Massachusetts, USA


11-50 employeesFounded: 2017

**Funding:**

Andreessen Horowitz$175M Series B in 2023

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/asimov/)

[Check company site 📌](http://www.asimov.io/?utm_source=topstartups.io)

[View Jobs](https://jobs.lever.co/asimov?utm_source=topstartups.io)

[![Synchron startup company logo](https://images.crunchbase.com/image/upload/c_",$175M,Biotech,"Boston, Massachusetts, USA",50,http://www.asimov.io/,,,,topstartups.io,
Synchron,"Restore lives by deciphering the neural code of the brain


BiotechHealthcareHardware

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2016

**Funding:**

Khosla Ventures$75M Series C in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/synchron-inc.)

[Check company site 📌](https://synchron.com/?utm_source=topstartups.io)

[View Jobs](https://boards.greenhouse.io/embed/job_board?for=Synchron)

[![Hoxton Farms startup company logo](https://ima",$75M,"Biotech, Healthcare","New York, New York, USA",200,https://synchron.com/,,,,topstartups.io,
Hoxton Farms,"Grow real animal fat without the animals for delicious, cruelty-free, sustainable ingredient


Biotech Sustainability

**Quick facts:**

📍HQ: London, England, United Kingdom


11-50 employeesFounded: 2020

**Funding:**

Founders Fund$22M Series A in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/hoxtonfarms)

[Check company site 📌](http://www.hoxtonfarms.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/hoxtonfarms?utm_source=topstartups.io)

[![C",$22M,Biotech,"London, England, United Kingdom",50,http://www.hoxtonfarms.com/,,,,topstartups.io,
CAMP4 Therapeutics,"BioTech. Solving how genes are controlled to drive the efficient development of treatments.


Biotech

**Quick facts:**

📍HQ: Boston, Massachusetts, USA


51-100 employeesFounded: 2016

**Funding:**

Andreessen Horowitz$100M Series B in 2022

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/camp4-therapeutics)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/CAMP4-Reviews-E2187913.htm)

[Check company site 📌](http://www.camp4tx.com/?utm_source=topstartups.io)

[View J",$100M,Biotech,"Boston, Massachusetts, USA",100,http://www.camp4tx.com/,,,,topstartups.io,
Mirvie,"Creates precise, actionable, and non-invasive tests for maternal-fetal health


Biotech Healthcare

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2018

**Funding:**

Khosla Ventures$45M Series B in 2022$155M valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/mirvie/)

[Check company site 📌](https://www.mirvie.com/?utm_source=topstartups.io)

[View Jobs](https://www.mirvie.com/careers?utm_source=topstartups.io)

[![Octan",$45M,"Biotech, Healthcare","San Francisco Bay Area, California, USA",50,https://www.mirvie.com/,,,,topstartups.io,
Octant Bio,"Engineering biology to transform drug discovery


Biotech

**Quick facts:**

📍HQ: Los Angeles, California, USA


51-100 employeesFounded: 2017

**Funding:**

Andreessen Horowitz$80M Series B in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/octantbio)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Octant-CA-EI_IE4722622.11,20.htm)

[Check company site 📌](http://www.octant.bio/?utm_source=topstartups.io)

[View Jobs](https://boards.greenhouse.io/embed",$80M,Biotech,"Los Angeles, California, USA",100,http://www.octant.bio/,,,,topstartups.io,
